co_municipio,co_ibge,no_municipio,uf,ano,rede,saeb_matematica,saeb_lingua_portuguesa,saeb_padronizado,ideb,posição estado,ideb_meta,etapa
3529500,352950,Mendonça,SP,2023,Municipal,270.24,238.57,7.458941,7.3,48,,Anos Iniciais
3537107,353710,Pedreira,SP,2023,Municipal,261.09,241.86,7.344141,7.3,49,,Anos Iniciais
3550506,355050,São Pedro do Turvo,SP,2023,Municipal,262.49,239.01,7.31904,7.3,50,,Anos Iniciais
3551207,355120,Sarutaiá,SP,2023,Municipal,262.18,238.31,7.300397,7.3,51,,Anos Iniciais
2112704,211270,Vargem Grande,MA,2023,Municipal,264.91,236.03,7.311042,7.3,,,Anos Iniciais
2201903,220190,Bom Jesus,PI,2023,Municipal,254.9,246.06,7.302375,7.3,,,Anos Iniciais
2202026,220202,Buriti dos Montes,PI,2023,Municipal,253.98,247.92,7.318636,7.3,,,Anos Iniciais
2210706,221070,Simões,PI,2023,Municipal,256.58,244.03,7.297527,7.3,,,Anos Iniciais
2310209,231020,Paracuru,CE,2023,Municipal,256.88,246.11,7.34107,7.3,,,Anos Iniciais
2312809,231280,Senador Sá,CE,2023,Municipal,264.37,236.59,7.310918,7.3,,,Anos Iniciais
2605004,260500,Cupira,PE,2023,Municipal,263.45,240.52,7.364815,7.3,,,Anos Iniciais
2614402,261440,Solidão,PE,2023,Municipal,262.97,238.25,7.314382,7.3,,,Anos Iniciais
2701407,270140,Campo Alegre,AL,2023,Municipal,271.31,231.33,7.347724,7.3,,,Anos Iniciais
2917409,291740,Jacaraci,BA,2023,Municipal,262.37,247.43,7.469841,7.3,,,Anos Iniciais
3103801,310380,Arapuá,MG,2023,Municipal,251.92,249.31,7.304595,7.3,,,Anos Iniciais
3114907,311490,Casa Grande,MG,2023,Municipal,265.73,250.59,7.591418,7.3,,,Anos Iniciais
3146503,314650,Pains,MG,2023,Municipal,259.1,242.61,7.3198,7.3,,,Anos Iniciais
3148905,314890,Pedra do Indaiá,MG,2023,Municipal,267.53,248.98,7.596496,7.3,,,Anos Iniciais
3157708,315770,Santa Juliana,MG,2023,Municipal,260.08,239.94,7.289957,7.3,,,Anos Iniciais
4110052,411005,Iguatu,PR,2023,Municipal,256.11,245.56,7.316375,7.3,,,Anos Iniciais
4112405,411240,Japurá,PR,2023,Municipal,259.21,240.92,7.291172,7.3,,,Anos Iniciais
4117297,411729,Novo Itacolomi,PR,2023,Municipal,259.66,243.11,7.339578,7.3,,,Anos Iniciais
4117404,411740,Ourizona,PR,2023,Municipal,267.28,236.97,7.373362,7.3,,,Anos Iniciais
4118501,411850,Pato Branco,PR,2023,Municipal,257.8,241.16,7.268627,7.3,,,Anos Iniciais
